tick,market_price
694,100.276
695,100.274
696,100.272
697,100.274
698,100.269
699,100.271
700,100.281
701,100.285
702,100.284
703,100.285
704,100.297
705,100.3
706,100.303
707,100.309
708,100.317
709,100.319
710,100.319
711,100.325
712,100.336
713,100.341
714,100.346
715,100.342
716,100.342
717,100.343
718,100.343
719,100.338
720,100.327
721,100.323
722,100.326
723,100.33
724,100.327
725,100.316
726,100.317
727,100.319
728,100.322
729,100.32
730,100.309
731,100.27
732,100.229
733,100.216
734,100.205
735,100.196
736,100.186
737,100.184
738,100.188
739,100.199
740,100.209
741,100.209
742,100.211
743,100.217
744,100.224
745,100.228
746,100.234
747,100.237
748,100.234
749,100.228
750,100.222
751,100.218
752,100.213
753,100.219
754,100.224
755,100.224
756,100.222
757,100.217
758,100.222
759,100.219
760,100.216
761,100.212
762,100.212
763,100.212
764,100.206
765,100.209
766,100.197
767,100.196
768,100.2
769,100.207
770,100.212
771,100.217
772,100.223
773,100.223
774,100.223
775,100.217
776,100.213
777,100.21
778,100.209
779,100.206
780,100.195
781,100.192
782,100.189
783,100.189
784,100.192
785,100.192
786,100.207
787,100.217
788,100.218
789,100.22
790,100.224
791,100.232
792,100.235
793,100.234
794,100.242
795,100.246
796,100.246
797,100.249
798,100.246
799,100.243
800,100.242
801,100.241
802,100.236
803,100.24
804,100.243
805,100.245
806,100.238
807,100.236
808,100.237
809,100.243
810,100.248
811,100.247
812,100.247
813,100.252
814,100.244
815,100.234
816,100.232
817,100.225
818,100.227
819,100.231
820,100.238
821,100.242
822,100.252
823,100.255
824,100.257
825,100.256
826,100.246
827,100.244
828,100.247
829,100.248
830,100.243
831,100.244
832,100.245
833,100.252
834,100.261
835,100.261
836,100.265
837,100.266
838,100.258
839,100.25
840,100.248
841,100.24
842,100.232
843,100.227
844,100.233
845,100.24
846,100.252
847,100.285
848,100.338
849,100.426
850,100.581
851,100.689
852,100.708
853,100.711
854,100.717
855,100.712
856,100.715
857,100.717
858,100.719
859,100.713
860,100.711
861,100.709
862,100.709
863,100.699
864,100.7
865,100.712
866,100.739
867,100.748
868,100.751
869,100.748
870,100.736
871,100.729
872,100.732
873,100.739
874,100.75
875,100.753
876,100.752
877,100.752
878,100.758
879,100.762
880,100.763
881,100.765
882,100.765
883,100.76
884,100.747
885,100.742
886,100.729
887,100.727
888,100.736
889,100.74
890,100.741
891,100.742
892,100.742
893,100.749
894,100.754
895,100.759
896,100.75
897,100.736
898,100.712
899,100.709
900,100.701
901,100.702
902,100.699
903,100.702
904,100.705
905,100.71
906,100.733
907,100.739
908,100.749
909,100.754
910,100.752
911,100.758
912,100.761
913,100.765
914,100.763
915,100.758
916,100.761
917,100.763
918,100.766
919,100.773
920,100.785
921,100.788
922,100.789
923,100.79
924,100.787
925,100.788
926,100.786
927,100.786
928,100.795
929,100.81
930,100.814
931,100.817
932,100.823
933,100.823
934,100.822
935,100.821
936,100.822
937,100.821
938,100.831
939,100.832
940,100.835
941,100.834
942,100.832
943,100.839
944,100.843
945,100.841
946,100.838
947,100.838
948,100.831
949,100.831
950,100.831
951,100.833
952,100.841
953,100.842
954,100.848
955,100.856
956,100.858
957,100.866
958,100.875
959,100.883
960,100.887
961,100.89
962,100.897
963,100.897
964,100.9
965,100.891
966,100.89
967,100.898
968,100.908
969,100.917
970,100.932
971,100.944
972,100.962
973,100.976
974,100.986
975,100.987
976,100.979
977,100.976
978,100.977
979,100.977
980,100.989
981,100.99
982,100.989
983,100.989
984,100.988
985,100.99
986,100.987
987,100.98
988,100.978
989,100.96
990,100.958
991,100.964
992,100.978
993,100.988
994,100.995
995,100.993
996,100.992
997,100.993
998,100.993
999,100.998
1000,101
1001,101
1002,101.002
1003,101.003
1004,101.007
1005,101.012
1006,101.012
1007,101.011
1008,101.008
1009,101.011
1010,101.024
1011,101.029
1012,101.033
1013,101.032
1014,101.032
1015,101.043
1016,101.054
1017,101.051
1018,101.054
1019,101.054
1020,101.049
1021,101.04
1022,101.035
1023,101.03
1024,101.028
1025,101.034
1026,101.04
1027,101.053
1028,101.057
1029,101.06
1030,101.062
1031,101.063
1032,101.054
1033,101.051
1034,101.043
1035,101.043
1036,101.043
1037,101.042
1038,101.021
1039,100.995
1040,100.964
1041,100.922
1042,100.918
1043,100.913
1044,100.911
1045,100.911
1046,100.91
1047,100.912
1048,100.926
1049,100.93
1050,100.937
1051,100.939
1052,100.948
1053,100.957
1054,100.965
1055,100.968
1056,100.967
1057,100.971
1058,100.972
1059,100.981
1060,100.988
1061,100.988
1062,100.986
1063,100.986
1064,100.991
1065,101.001
1066,101.008
1067,101.009
1068,101.012
1069,101.012
1070,101.011
1071,101.008
1072,101.006
1073,101.006
1074,101.003
1075,101.004
1076,101.002
1077,100.986
1078,100.984
1079,100.975
1080,100.97
1081,100.967
1082,100.969
1083,100.972
1084,100.972
1085,100.967
1086,100.967
1087,100.964
1088,100.963
1089,100.963
1090,100.969
1091,100.97
1092,100.968
1093,100.974
1094,100.975
1095,100.971
1096,100.968
1097,100.962
1098,100.958
1099,100.956
1100,100.953
1101,100.951
1102,100.952
1103,100.948
1104,100.952
1105,100.95
1106,100.95
1107,100.945
1108,100.934
1109,100.92
1110,100.918
1111,100.915
1112,100.907
1113,100.902
1114,100.903
1115,100.909
1116,100.911
1117,100.914
1118,100.917
1119,100.917
1120,100.908
1121,100.902
1122,100.91
1123,100.93
1124,100.939
1125,100.96
1126,100.962
1127,100.967
1128,100.969
1129,100.965
1130,100.971
1131,100.965
1132,100.961
1133,100.966
1134,100.97
1135,100.979
1136,100.98
1137,100.982
1138,100.985
1139,100.986
1140,100.985
1141,100.996
1142,101.003
1143,101.003
1144,101.003
1145,100.984
1146,100.95
1147,100.921
1148,100.9
1149,100.894
1150,100.902
1151,100.899
1152,100.898
1153,100.884
1154,100.878
1155,100.869
1156,100.86
1157,100.862
1158,100.862
1159,100.872
1160,100.904
1161,100.903
1162,100.901
1163,100.899
1164,100.896
1165,100.9
1166,100.892
1167,100.89
1168,100.881
1169,100.866
1170,100.857
1171,100.853
1172,100.847
1173,100.844
1174,100.815
1175,100.784
1176,100.764
1177,100.76
1178,100.757
1179,100.756
1180,100.755
1181,100.755
1182,100.756
1183,100.752
1184,100.746
1185,100.741
1186,100.75
1187,100.758
1188,100.757
1189,100.752
1190,100.745
1191,100.731
1192,100.721
1193,100.704
1194,100.698
1195,100.696
1196,100.69
1197,100.68
1198,100.675
1199,100.66
1200,100.655
1201,100.651
1202,100.653
1203,100.655
1204,100.657
1205,100.661
1206,100.663
1207,100.674
1208,100.674
1209,100.676
1210,100.665
1211,100.653
1212,100.654
1213,100.656
1214,100.657
1215,100.655
1216,100.66
1217,100.66
1218,100.65
1219,100.644
1220,100.634
1221,100.622
1222,100.596
1223,100.524
1224,100.495
1225,100.487
1226,100.486
1227,100.488
1228,100.493
1229,100.492
1230,100.485
1231,100.486
1232,100.487
1233,100.491
1234,100.488
1235,100.489
1236,100.492
1237,100.486
1238,100.49
1239,100.494
1240,100.495
1241,100.488
1242,100.477
1243,100.471
1244,100.464
1245,100.444
1246,100.43
1247,100.423
1248,100.411
1249,100.397
1250,100.389
1251,100.388
1252,100.383
1253,100.378
1254,100.373
1255,100.371
1256,100.372
1257,100.37
1258,100.368
1259,100.372
1260,100.381
1261,100.383
1262,100.379
1263,100.382
1264,100.386
1265,100.385
1266,100.385
1267,100.382
1268,100.387
1269,100.385
1270,100.383
1271,100.388
1272,100.388
1273,100.386
1274,100.385
1275,100.389
1276,100.39
1277,100.385
1278,100.382
1279,100.387
1280,100.391
1281,100.394
1282,100.392
1283,100.39
1284,100.393
1285,100.393
1286,100.394
1287,100.396
1288,100.397
1289,100.401
1290,100.398
1291,100.403
1292,100.414
1293,100.42
1294,100.424
1295,100.428
1296,100.427
1297,100.43
1298,100.426
1299,100.416
1300,100.418
1301,100.425
1302,100.425
1303,100.427
1304,100.421
1305,100.421
1306,100.423
1307,100.417
1308,100.414
1309,100.408
1310,100.389
1311,100.35
1312,100.335
1313,100.319
1314,100.313
1315,100.311
1316,100.31
1317,100.311
1318,100.303
1319,100.294
1320,100.295
1321,100.3
1322,100.298
1323,100.292
1324,100.286
1325,100.285
1326,100.288
1327,100.288
1328,100.29
1329,100.288
1330,100.282
1331,100.281
1332,100.281
1333,100.29
1334,100.302
1335,100.308
1336,100.325
1337,100.329
1338,100.328
1339,100.329
1340,100.329
1341,100.332
1342,100.336
1343,100.331
1344,100.331
1345,100.326
1346,100.32
1347,100.309
1348,100.296
1349,100.285
1350,100.289
1351,100.296
1352,100.297
1353,100.293
1354,100.293
1355,100.295
1356,100.302
1357,100.305
1358,100.311
1359,100.325
1360,100.384
1361,100.426
1362,100.464
1363,100.503
1364,100.513
1365,100.52
1366,100.525
1367,100.526
1368,100.529
1369,100.525
1370,100.521
1371,100.522
1372,100.532
1373,100.552
1374,100.561
1375,100.566
1376,100.566
1377,100.563
1378,100.563
1379,100.562
1380,100.558
1381,100.563
1382,100.562
1383,100.566
1384,100.571
1385,100.572
1386,100.565
1387,100.55
1388,100.551
1389,100.554
1390,100.551
1391,100.552
1392,100.55
1393,100.542
1394,100.539
1395,100.549
1396,100.556
1397,100.55
1398,100.545
1399,100.538
1400,100.536
1401,100.522
1402,100.512
1403,100.513
1404,100.518
1405,100.519
1406,100.521
1407,100.525
1408,100.523
1409,100.527
1410,100.53
1411,100.531
1412,100.528
1413,100.527
1414,100.52
1415,100.518
1416,100.513
1417,100.508
1418,100.503
1419,100.504
1420,100.507
1421,100.503
1422,100.515
1423,100.516
1424,100.518
1425,100.521
1426,100.53
1427,100.53
1428,100.526
1429,100.528
1430,100.537
1431,100.548
1432,100.563
1433,100.576
1434,100.594
1435,100.624
1436,100.629
1437,100.628
1438,100.639
1439,100.644
1440,100.648
1441,100.65
1442,100.653
1443,100.651
1444,100.657
1445,100.661
1446,100.663
1447,100.653
1448,100.655
1449,100.656
1450,100.652
1451,100.654
1452,100.652
1453,100.656
1454,100.658
1455,100.661
1456,100.659
1457,100.658
1458,100.652
1459,100.647
